model_id,max_speed,displacement,doors,seats,type_id,transmission,fuel,horsepower,price
1,235.0,1.8,5,5,4,manual,electrico,346 HP,170696.43
2,220.0,1.8,4,5,3,automatic,diesel,149 HP,90629.06
3,228.0,2.0,4,5,3,automatic,híbrido,303 HP,93150.65
4,230.0,2.0,5,5,2,manual,híbrido,120 HP,160782.01
5,234.0,3.0,5,5,2,automatic,híbrido,437 HP,41929.38
11,242.0,1.8,4,5,3,manual,gasolina,332 HP,41603.38
12,250.0,4.2,2,4,3,automatic,diesel,160 HP,93748.17
13,250.0,4.0,5,4,6,automatic,gasolina,129 HP,43717.09
19,203.0,1.4,3,4,4,automatic,híbrido,195 HP,191887.33
21,238.0,2.0,5,5,7,automatic,diesel,378 HP,23472.95
22,250.0,2.0,2,4,12,automatic,diesel,152 HP,171208.76
23,248.0,2.0,2,4,3,automatic,electrico,435 HP,171064.47
24,242.0,2.0,5,4,6,manual,diesel,372 HP,198880.73
25,240.0,2.0,4,5,3,manual,electrico,243 HP,83313.13
26,235.0,2.5,5,5,6,automatic,diesel,261 HP,166496.39
27,237.0,2.5,4,5,3,automatic,gasolina,130 HP,22037.11
28,228.0,2.0,4,5,3,automatic,diesel,163 HP,104537.47
31,225.0,2.0,5,5,2,automatic,diesel,297 HP,147778.04
32,222.0,3.0,5,5,2,automatic,electrico,182 HP,68103.47
33,300.0,4.2,2,2,10,manual,diesel,313 HP,55369.49
34,250.0,3.0,2,4,12,manual,electrico,348 HP,140225.33
35,250.0,3.0,2,4,3,manual,diesel,446 HP,138549.0
36,250.0,3.0,5,5,6,automatic,diesel,173 HP,66179.07
38,250.0,4.0,5,4,6,manual,gasolina,356 HP,130844.63
39,250.0,4.0,4,5,3,automatic,híbrido,269 HP,146489.74
40,250.0,3.0,5,5,2,automatic,diesel,428 HP,178106.81
41,250.0,2.0,2,2,12,automatic,diesel,135 HP,34568.82
42,250.0,2.0,2,4,10,automatic,electrico,439 HP,123653.09
43,242.0,2.0,2,2,12,manual,híbrido,237 HP,38154.48
44,245.0,2.0,2,4,10,manual,diesel,201 HP,74546.84
68,210.0,1.6,4,5,3,manual,electrico,355 HP,49017.89
69,200.0,2.0,5,5,2,automatic,electrico,389 HP,178741.17
70,225.0,2.0,4,5,3,automatic,gasolina,460 HP,109399.18
71,250.0,3.0,2,4,3,automatic,electrico,385 HP,131396.18
72,250.0,4.0,2,4,3,manual,gasolina,401 HP,148636.69
73,250.0,3.0,4,5,3,manual,híbrido,232 HP,122589.93
