model_id,name
1,Audi A3 hatchback
2,Audi A4L
3,Audi A6L
4,Audi Q3
5,Audi Q5
6,Audi A6
7,Audi A3 sedan
8,Audi RS5
10,Audi RS4
11,Audi RS Q3
12,Audi RS3
13,Audi TT RS
19,Audi A5 hatchback
20,Audi A6 hybrid
21,Audi A7
22,Audi A8L
23,Audi A8L hybrid
24,Audi Q5 hybrid
25,Audi Q7
26,Audi R8
27,Audi S5 convertible
28,Audi S5 coupe
29,Audi S5 hatchback
30,Audi S7
31,Audi S8
32,Audi SQ5
33,Audi TTS convertible
34,Audi TTS coupe
35,Audi TT convertible
36,Audi TT coupe
37,Audi A2
38,Audi quattro
39,Audi Urban
40,Audi Cross
41,Audi e-tron
42,Audi S3 hatchback
43,Audi R18
44,Audi A3 convertible
45,Audi A3 e-tron
51,Nanuk
54,BWM 3 Series
58,BWM M3 coupe
59,BWM M3
64,BWM X5 M
68,BWM 1 Series couple
69,BWM 2 Series
70,BWM 3 Series GT
71,BWM 3 Series convertible
72,BWM 3 Series hybrid
73,BWM 3 Series estate
74,BWM 3 Series coupe
75,BWM 4 Series convertible
76,BWM 4 Series couple
77,BWM 4 Series
78,BWM 5 Series GT
79,BWM 5 Series hybrid
80,BWM 5 Series estate
81,BWM 6 Series convertible
82,BWM 6 Series couple
83,BWM 6 Series
84,BWM 7 Series
85,BWM 7 Series hybrid
86,BWM X3
87,BWM X4
88,BWM X5
89,BWM X6
90,BWM X6 Series hybrid
91,BWM Z4
92,BWM i3
93,BWM i8
94,ConnectedDrive
95,EfficientDynamics
96,Active Tourer
97,Isetta
98,BWM 1 Series hatchback
99,Zagato Coupe
100,Gran Lusso
101,BWM GINA
102,BWM 2 Series Active Tourer
103,Vision Future Luxury
104,Benz C Class
105,Benz C Class hybird
106,Benz GLK Class
107,Benz E Class
108,Benz A Class AMG
109,Benz CLS Class AMG
110,Benz C Class AMG
111,Benz GL Class AMG
116,Benz SL Class AMG
117,Benz S Class AMG
118,Benz E Class AMG
124,Sprinter
126,Wei Ting
127,Benz A Class
128,Benz CLA Class
129,Benz CLS Class
130,Benz CLS Class Shooting Brake
131,Benz C Class estate
132,Benz E Class convertible
133,Benz E Class couple
134,Benz GL Class
135,Benz G Class
136,Benz M Class
137,Benz R Class
143,Style Coupe
144,BlueZero
145,Benz Citan
146,Benz F800
147,Benz F125
148,Benz GLA Class
149,Benz E Class estate
150,Biome
151,Silver Arrow
152,Benz S Class coupe
153,Coupe SUV
154,Benz B Class
155,Ener-G-Force
156,Benz V Class
157,Unimog
158,encore
159,Buick GL8 Luxury Business
160,Buick GL8 Business
161,Regal
162,Regal GS
163,Lacrosse
164,Lacrosse eAssist
165,Exclle
166,Park Avenue
171,Enclave
172,Buick Encore
173,Buick Business
177,City
182,Fit
186,Honda Legend
187,Honda S2000
188,Honda Urban
189,Honda Gear
190,Honda NSX
191,Honda CONCEPT M
192,Honda EV-Ster
193,Honda Ridgeline
194,Honda Step Bus
195,Honda AC-x
196,Honda FCX
197,Honda HSV-010 GT
198,Honda N BOX
199,Honda ONE
201,Honda SUT
202,Honda Brio
203,Honda S660
205,Honda HR-V
209,Spirior
210,Civic
